,Title,Brand,Rating_out_five,Rating,Price,Discount
124,Mochi Men's Faux Leather Stylish Casual Active Athleisure Sneaker,Cocoblu Retail,16 ratings, 2.4 ,"1,614",-40%
125,Bacca Bucci Happy HIGH Low Top Streetwear Sneakers Casual Shoes for Men | Athletic-Inspired Flat Shoes for Men,Bacca bucci Shoes,32 ratings, 3.6 ,"1,699",-51%
126,Bacca Bucci Mens Stride Eclipse: Low-Top Flat-Sole Sneakers With Signature Thick Round Laces And Luxe Leather Finish,Bacca bucci Shoes,23 ratings, 3.7 ,"1,599",-47%
127,ASIAN Men's TARZAN-11 Casual Sneaker Shoes with Synthetic Upper Lightweight Comfortable Mid Top Sneaker Shoes for Men's & Boy's,Asian Shoes,"2,448 ratings", 3.8 ,799,-47%
128,Hygear Mens George Sneaker,Cocoblu Retail,7 ratings, 5.0 ,"1,079",-64%
129,Puma Unisex-Adult R78 Year of Sports Res Sneaker,Cocoblu Retail,7 ratings, 4.6 ,"3,704",-43%
130,Puma Unisex Cliff Sneaker,Puma Sports India,378 ratings, 3.9 ,"1,569",-55%
131,Puma Unisex Club II Year of Sports Sneaker,Cocoblu Retail,47 ratings, 4.3 ,"3,244",-41%
132,Puma Unisex MAPF1 Caven 2.0 Sneaker,Cocoblu Retail,8 ratings, 3.4 ,"3,150",-55%
133,Puma Unisex ST Runner v4 NL Sneaker,Cocoblu Retail,42 ratings, 4.0 ,"2,474",-55%
134,Puma Unisex-Adult Turino Ii Sneaker,Cocoblu Retail,26 ratings, 3.7 ,"2,150",-57%
135,Puma Unisex Ferrari Caven 2.0 Sneaker,Cocoblu Retail,34 ratings, 4.2 ,"3,080",-56%
136,Puma Unisex BMW MMS Tune Cat Sneaker,Cocoblu Retail,20 ratings, 3.6 ,"3,360",-58%
137,Puma Unisex MAPF1 A3rokart Mid Sneaker,Cocoblu Retail,10 ratings, 3.8 ,"4,999",-50%
138,Puma Unisex-Adult Serve Pro Lite White-Malachite-Gold Sneaker - 9 UK (37490229),Cocoblu Retail,NaN,,"1,980",-56%
139,Puma Men's Draco Running Shoe,Cocoblu Retail,"3,077 ratings", 4.0 ,"2,830",-29%
140,Puma Men's Alfarun Sneaker,Puma Sports India,212 ratings, 3.7 ,"2,149",-57%
141,Puma Men's Drivate Sneaker,Cocoblu Retail,30 ratings, 3.5 ,"1,924",-45%
142,Puma Mens Rbd Game Court- Z Low Sneaker,Cocoblu Retail,NaN,,"3,949",-47%
143,Puma Unisex Caven 2.0 Seeing Double Sneaker,Cocoblu Retail,11 ratings, 4.4 ,"2,640",-56%
144,Puma Unisex MAPF1 CA Pro Crush Sneaker,Cocoblu Retail,17 ratings, 4.0 ,"4,500",-50%
145,The Aurous Blaze Laceup Sneakers | Stylish | Lightweight | Comfortable | Handcrafted | Memory Foam Soles for Extra Cushioning,Luxomish,48 ratings, 4.4 ,"1,399",-65%
